age_group,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,66169846.46,63879218.23,61878195.05,60051232.46,58884063.1,58253466.68,57920531.32,57928881.3,57966946.27,57893096.03,57943809.83,57908976.17,57340315.82,56853894.27,57286604.14,58743976.53,59671334.4,62004003.92
5,94307745.68,89851359.7,86366317.77,83213328.66,80168802.81,77628521.33,75779919.93,74261676.12,73436084.01,73305499.54,73220949.83,73084122.73,73300920.92,73439026.72,73352097.01,73108501.86,72561383.14,72114998.28
10,129826086.6,126188989.9,119107899.5,111401451.4,104340539.9,97965703.12,92710848.87,88405952.54,84473454.93,80779238.98,77821624.33,75872967.26,74389951.7,73622197.05,73516855.03,73411203.93,73254147.43,73460026.06
15,107137338.3,113887391.9,122337897.8,129182484,133281664.2,134516609.4,131294483.3,124486500.3,116900996.2,109794359.9,103170996.6,97437969.42,92602972.48,88181901.51,84087321.47,80830253.52,78642088.04,76954332.85
20,98350544.63,96740705.06,96011751.39,97029568.53,99718782.2,103840971.7,110579155.4,119034704.2,125960262.3,130242036.9,131769312.3,128938725.7,122535248.9,115291084.1,108432760.9,101976471,96368486.27,91633336.01
25,121883012.6,117468271.9,112561333,107547173.4,103233570.8,100329344.6,98471270.09,97464646.1,98191381.87,100615115.6,104533517,111143165.2,119531091.4,126445825.7,130743947.9,132280864.5,129437741.1,122996089.2
30,132202492.3,131194953.8,129689346.2,127839996.7,125361938.6,121989967.3,117670642.7,112789704.5,107748691.7,103377453.3,100408653.5,98483218.21,97421526.89,98115609.84,100518715.5,104415599.4,110994725.5,119344411
35,113192308.8,121246777.4,127307905.2,130763220,132133497,131967363,130982665.4,129522817.4,127723808,125293325.5,121956286.1,117640684.8,112749007.3,107701981.9,103332503.9,100365202.4,98433177.1,97354977.92
40,84486805.78,83805596.94,86464540.74,92985223.68,101615545.2,110634685,118450613.9,124295219,127598590.8,128908250,128783737.1,127927787.5,126643630.3,125038673.6,122802152.9,119653805.2,115526663.1,110812444.8
45,88416927.39,90825433.99,91435277.8,89315712.54,85797054.08,82844757.76,82244770.15,84929649.17,91392479.86,99906539.92,108792586.9,116488463.3,122255176.9,125543941.9,126887181.6,126827265.2,126050255.3,124851556.3
50,65114953.62,68695675.98,72267968.64,77872780.42,81453027.62,86275749.04,88625792.26,89216766.19,87156409.56,83763142.74,80947535.89,80425930.75,83096296.46,89441277.69,97761500.11,106402919.1,113866280.4,119485535.8
55,47521805.36,49662960.88,52388917.29,54359344.66,59250343.31,62289034.47,65758891.84,69235513.99,74684028.98,78223677.16,82976785.88,85360155.2,86040802.11,84161465.11,80991121.28,78362879.34,77930906.63,80551631.96
60,42583135.61,42761282.71,43044260.39,43596218.82,44272727.31,45224098.32,47352487.26,50047351.78,52016111.88,56772284.78,59738811.42,63118560.93,66510568.54,71780719.93,75238023.18,79797228.87,82092827.21,82785682.64
65,35740988.93,36629506.81,37488337.35,38067869.71,38166951.79,38512378.06,38860195.35,39340829.46,40056726.72,40845831.32,41839038.34,43868354.1,46368726.18,48146922.98,52494970.25,55097622.79,58107759.96,61209511.45
70,26192563.2,27040152.36,27803376.85,28558137.22,29574094.53,30455640.92,31360955.15,32259842.25,32934947.03,33206777.72,33676607.09,34100075.6,34593008.2,35267211.46,35983906.19,36843599.32,38591149.47,40755613.42
75,16364853.62,16995880.07,17690125.77,18418693.74,19187817.84,19989218.02,20812770.25,21615467.69,22426178.13,23437553.65,24298520.99,25125421.12,25907172.79,26513952.02,26823729.37,27302366.99,27742141.57,28243073.68
80,8839603.142,9189120.22,9534802.003,9897190.538,10301131.84,10726364.04,11198278.68,11759750.42,12364542.76,12985618.5,13596024.86,14186652.45,14765346.23,15411843.38,16261478.28,16972338.21,17615383.35,18233746.93
85,3550851.775,3770476.416,3985417.603,4172776.131,4290711.731,4446860.88,4635101.181,4850210.609,5089921.393,5339548.583,5582195.882,5828849.404,6128784.48,6497080.675,6931968.224,7413502.706,7904431.64,8344049.994
90,923234.6552,983256.8363,1046005.622,1109173.803,1178714.432,1249004.925,1331993.352,1420350.328,1502683.186,1556942.087,1620998.826,1691225.808,1770346.622,1869500.617,1985650.188,2123156.279,2285073.022,2473347.923
95,271293.3942,302709.0732,333983.5627,361106.4568,388290.24,419154.081,452424.0372,488541.276,524363.7171,561287.5448,595037.1185,631129.2843,668512.7321,706077.4701,736117.2534,778477.8371,830344.248,889570.2686
